vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
1040,7,Castle  -  Inner Ward,The inner courtyard. A well sits in the center. The keep looms above.,1033,1045,1041,1039,1034,1032,1046,1044,,,The well in the courtyard is cool and shaded beneath the keep’s shadow.,Muffled tavern sounds carry softly from the north.,Eyes seem to watch from the narrow alleys to the northeast.,Dust motes float in shafts of light from the nearby library to the southeast.
1041,7,Castle  -  Great Hall,A massive hall with a vaulted ceiling. The king's throne sits empty on a raised dais.,1034,1046,1042,1040,1035,1033,1047,1045,,,"Vaulted ceilings stretch high above, echoing quiet footsteps.",A faint scent of old stone and candle wax lingers in the air.,"Fog clings low beyond the northeast graveyard, cold and still.",The distant clink of tavern glass drifts in from the northwest.
1042,7,Castle  -  Dungeon Entrance,Stone stairs descend into darkness. The smell of damp and despair rises.,1035,1047,,1041,1036,1034,,1046,,,A dank chill rises from the dark stone stairs below.,Soft scratching noises seem to come from the sealed mausoleum northeast.,The smell of damp earth and old stone fills the air.,Muffled voices echo faintly from the library to the southwest.
1043,7,King's Road  -  South,The road stretches southward through open plains. Distant mountains mark the horizon.,1038,1048,1044,,1039,1037,1049,,,,"Open plains spread wide, the horizon marked by distant mountains.",The heavy clatter of wagons and trade rings the gate to the north.,Cool breezes carry the scent of fresh earth from nearby fields.,Stone walls and marching feet sound faintly from the northeastern courtyard.
1044,7,Castle  -  Armory,Racks of weapons and armor line the walls. A quartermaster takes inventory.,1039,1049,1045,1043,1040,1038,1050,1048,,,The clink of metal and worn leather scents the air here.,The distant bustle of caravans drifts in from the southwestern road.,Cobwebs cling to shadowed corners near the southern passage.,Soldiers' drills echo faintly from the courtyard to the north.
1045,7,Castle  -  Tower Base,The base of the tallest tower. Spiral stairs wind upward into gloom.,1040,1050,1046,1044,1041,1039,1051,1049,,1100,"Stone steps spiral upward, cool and shadowed underfoot.",Dust drifts in muted shafts of light from the eastern library.,The courtyard's well is visible just to the north under towering walls.,A faint chill wafts from the dark descent below.
1046,7,Castle  -  Library,Floor-to-ceiling bookshelves. Dust motes drift in shafts of light. A scholar mutters to himself.,1041,1051,1047,1045,1042,1040,1052,1050,,,Rows of ancient books exhale the musty scent of forgotten knowledge.,Dust motes dance silently in narrow beams of light.,The low murmur of a scholar’s voice drifts softly nearby.,Shadows lengthen beneath the vaulted hall to the north.
1047,7,Castle  -  Dungeon Cells,Iron-barred cells line a damp corridor. Most are empty. Most.,1042,1052,,1046,,1041,,1051,,,Cold stone bars line the damp corridor with a faint metallic scent.,"A heavy stillness hangs, broken only by distant dripping water.",The scholar’s quiet muttering echoes faintly from the library westward.,"Shadows stretch from the great hall, swallowing light slowly."
1048,7,Crossroads  -  Southern Plains,The road forks here. South leads to distant villages. East enters marshland.,1043,1054,1049,,1044,,1055,1053,,,"The plain’s grasses sway gently under a wide, restless sky.",The air carries the clean scent of coming rain from the south.,Vines crawl over the ruined stone of the watchtower to the southeast.,The marsh's damp earth and dead trees lie soft and treacherous to the southwest.
1049,7,Castle  -  Secret Passage,A narrow passage behind a bookcase. Cobwebs suggest it hasn't been used in years.,1044,1055,1050,1048,1045,1043,1056,1054,,,"Cobwebs cling to the narrow passage, untouched for years.",The distant clink of metal comes from the armory to the north.,Vines creep from the crumbling watchtower to the south.,A cool breeze whispers from the marshland west beyond the plains.
1050,7,Castle  -  Tower Top,The top of the tower. A telescope points skyward. The entire kingdom is visible from here.,1045,1056,1051,1049,1046,1044,1057,1055,,,"The telescope points skyward, framing a vast kingdom below.",Smoke curls from the crooked chimney of the witch's hut southeast.,The ruined watchtower stands like a stone skeleton to the southwest.,A scholar's quiet muttering drifts in from the library to the northeast.
1051,7,Castle  -  Wizard's Study,"A cluttered room of arcane apparatus. A crystal ball sits on the desk, clouded and dark.",1046,1057,1052,1050,1047,1045,,1056,,,The crystal ball’s surface is clouded and dark with arcane dust.,Faint mutters rise from the nearby library to the north.,Smoke from the witch’s hut sifts through cracks to the south.,The spiral stairs below wind into shadow at the tower base west.
1052,7,Castle  -  Deep Dungeon,The lowest level. Water drips from the ceiling. Something large breathes in the darkness.,1047,,,1051,,1046,,1057,,,Water drips steadily from the low dungeon ceiling.,The heavy breathing from the dark corridor north fills the air.,A faint arcane scent seeps in from the wizard’s study to the west.,The scholar’s distant voice echoes faintly from the library northwest.
1053,7,Swamp  -  Western Edge,The ground becomes soft and treacherous. Cattails and dead trees mark the transition to marshland.,,,1054,,1048,,1058,,,,The soft ground squelches underfoot amid dead trees and cattails.,"To the east, rolling grassland stretches beneath a cloudy sky.","Ancient stone pillars rise, etched with worn symbols to the southeast.",
1054,7,Southern Plains,Flat grassland stretches in every direction. The wind carries the smell of rain.,1048,1058,1055,1053,1049,,1059,,,,Flat grassland ripples with the wind carrying the scent of rain.,Crumbled stone pillars mark the entrance to ruins far to the south.,The ruined watchtower stands like a skeleton wall to the east.,Marshland’s treacherous edge lies soft and dark to the west.
1055,7,Ruined Watchtower,A crumbling stone tower. Only two walls still stand. Vines have claimed the rest.,1049,1059,1056,1054,1050,1048,1060,1058,,,"Vines twist around the crumbling walls, silent witnesses of time.",The narrow path of stepping stones splashes softly to the east.,Smoke rises faintly from the crooked witch’s hut far to the southeast.,"The ruined watchtower’s stones feel cold, covered in moss and shadow."
1056,7,Swamp  -  Path,A narrow path of stepping stones crosses the murky water. One wrong step and you're swimming.,1050,1060,1057,1055,1051,1049,,1059,,,The murky water laps against slick stepping stones underfoot.,"Smoke wafts from the crooked hut to the east, thick and sweet.",The ruined watchtower looms dark and mossy to the west.,Faint arcane hums drift down from the wizard’s study northeast.
1057,7,Witch's Hut,A crooked house on chicken-leg stilts. Smoke rises from the chimney. The door has no handle.,1051,,,1056,1052,1050,,1060,,,Smoke from the crooked chimney curls into the still air above.,The crystal ball’s shimmer fades with gathering dust and neglect.,The murky swamp path creaks softly under the weight of stones west.,Dark breaths echo faintly from the deep dungeon far to the northeast.
1058,7,Ancient Ruins  -  Entrance,Crumbling stone pillars mark the entrance to something old. Carved symbols cover every surface.,1054,,1059,,1055,1053,,,,,Carved symbols cover every weathered stone pillar around.,"To the north, endless grassland sways beneath heavy clouds.",The crumbling watchtower’s jagged walls rise to the northeast.,Dead trees and cattails mark the soft marshland nearby to the northwest.
1059,7,Ancient Ruins  -  Hall,"A long hall of fallen columns. The ceiling has collapsed in places, letting in shafts of light.",1055,,1060,1058,1056,1054,,,,,Sunlight filters through gaps where the ceiling has collapsed.,The ruined watchtower’s vines brush softly against aged stone north.,Moss climbs the fallen columns beneath the open sky to the west.,The narrow swamp path splashes faintly to the northeast.
1060,7,Ancient Ruins  -  Sanctum,"A circular chamber at the heart of the ruins. An altar stands in the center, stained dark.",1056,,,1059,1057,1055,,,,,A dark altar stained with age stands silently in the chamber.,The narrow stepping stones of the swamp path ripple with water north.,Smoke drifts from a crooked chimney far to the northeast.,The ruined watchtower’s moss-clad walls loom quietly to the northwest.
1100,7,Dungeon Descent  -  Top,Stone stairs spiral downward into the earth. The air grows cold and damp. Torches gutter.,,1103,1101,,,,1104,1102,1045,,The cold damp air clings to the stone as torches gutter faintly.,Soft echoing drips come from the wide corridor to the south.,Faint card scents linger from the abandoned post to the east.,Distant scratching whispers from the cells to the southwest.
1101,7,Dungeon  -  Guard Room,An abandoned guard post. A table with cards still dealt. The guards left in a hurry.,,1104,,1100,,,1105,1103,,,The scent of stale ale and sweat still hangs over the dealt cards.,Dim light flickers where the stairs spiral down to the west.,Muffled water drips and rattling chains come from the corridor southwest.,The faint creak of torture instruments drifts from the southeast.
1102,7,Dungeon  -  West Cells,Iron-barred cells line the corridor. Scratching sounds come from the darkest one.,,1107,1103,,1100,,1108,1106,,,Scratching noises echo softly from the darkest cell to the northeast.,The air chills near the frayed rope ladder hanging to the southwest.,Stone sarcophagi rise silently to the south beyond the cells.,Water drips steadily from the vaulted ceilings to the east.
1103,7,Dungeon  -  Central Hall,A wide corridor with vaulted ceilings. Water drips from above. Chains hang from the walls.,1100,1108,1104,1102,1101,,1109,1107,,,Water droplets fall rhythmically from the cold stones above.,Scratches and faint shuffles come from the barred cells to the west.,The glow of blue flames flickers gently in the crypt to the south.,The scent of old parchment and stale breath wafts from the guard room northeast.
